Date,Region,Brand,Model,Vehicle_Type,Battery_Capacity_kWh,Discount_Percentage,Customer_Segment,Fast_Charging_Option
2023-04,Oceania,Volkswagen,Model 3,SUV,45,16,Budget Conscious,No
2023-10,Oceania,Ford,Model 3,Sedan,89,5,Tech Enthusiast,Yes
2023-10,South America,Volkswagen,Atto 3,Sedan,61,4,Budget Conscious,Yes
2023-02,Africa,Volkswagen,Corolla EV,Crossover,100,16,Eco-Conscious,No
2023-10,North America,Tesla,Rio EV,Sedan,70,8,Eco-Conscious,Yes
2023-01,Africa,Tesla,Model S,Hatchback,67,6,High Income,No
2023-04,North America,Toyota,Atto 3,Truck,41,10,Eco-Conscious,Yes
2023-06,Oceania,Ford,ID.3,Sedan,75,19,High Income,No
2023-03,Africa,BMW,Han EV,SUV,59,7,Tech Enthusiast,Yes
2023-06,North America,BMW,Han EV,Truck,58,6,Budget Conscious,No
2023-03,Oceania,Ford,Model S,Hatchback,78,11,Tech Enthusiast,Yes
2023-02,Africa,Tesla,Model S,Hatchback,93,1,Eco-Conscious,Yes
2023-08,Oceania,Tesla,Elantra EV,Coupe,55,6,Eco-Conscious,Yes
2023-08,North America,Toyota,Rio EV,Truck,63,3,Eco-Conscious,Yes
2023-05,Asia,Ford,Corolla EV,Hatchback,95,14,Middle Income,Yes
2023-05,North America,Kia,Rio EV,Coupe,54,9,High Income,No
2023-06,Africa,Toyota,Han EV,SUV,50,3,Budget Conscious,Yes
2023-09,South America,Kia,Mach-E,SUV,56,6,Budget Conscious,Yes
2023-12,North America,BYD,Leaf,SUV,77,4,Eco-Conscious,Yes
2023-07,North America,Nissan,Elantra EV,Sedan,70,2,Eco-Conscious,Yes
2023-06,North America,Ford,Model 3,Hatchback,82,0,Budget Conscious,No
2023-03,North America,Kia,Rio EV,Hatchback,62,12,Eco-Conscious,Yes
2023-07,Asia,Volkswagen,iX,Sedan,85,19,Budget Conscious,No
2023-12,Africa,Kia,Corolla EV,Sedan,88,1,High Income,Yes
2023-09,North America,Ford,Leaf,Hatchback,83,4,Budget Conscious,No
2023-06,Africa,Hyundai,Rio EV,Coupe,57,18,Budget Conscious,Yes
2023-07,North America,BYD,Han EV,Truck,53,9,Eco-Conscious,No
2023-02,North America,Nissan,Model 3,Crossover,82,11,Eco-Conscious,Yes
2023-04,North America,BMW,Tucson EV,Crossover,65,2,High Income,No
2023-07,Asia,Volkswagen,Han EV,Hatchback,43,15,Tech Enthusiast,No
2023-03,Africa,BMW,i4,Truck,78,17,Eco-Conscious,Yes
2023-05,Oceania,Kia,Model 3,Truck,91,2,Tech Enthusiast,Yes
2023-07,Oceania,Kia,Ariya,Truck,42,14,Budget Conscious,No
2023-06,Asia,BMW,Han EV,Truck,44,4,Budget Conscious,Yes
2023-05,Africa,Nissan,Corolla EV,Hatchback,74,20,Eco-Conscious,No
2023-12,North America,Nissan,ID.5,SUV,61,19,Budget Conscious,Yes
2023-05,Oceania,Toyota,Corolla EV,Sedan,94,15,Budget Conscious,Yes
2023-04,North America,Kia,ID.4,SUV,75,0,Eco-Conscious,Yes
2023-06,North America,BYD,i4,Truck,90,2,Budget Conscious,Yes
2023-06,North America,Toyota,Atto 3,Sedan,85,10,High Income,Yes
